id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,revenue_per_year,price_category,occupancy_potential,facilities
40714608,30days! Link Sukhumvit NANA MaxValu 2BR(4P),52161947,Noons,Ratchathewi,13.75096,100.55574,Entire home/apt,2527,3,11,2022-10-16 00:00:00,0,99,363,5,917301,High,33.15,Airport
40715700,2 Bedroom / perfect stay quite near Bumrungrad,215798558,Mint,Vadhana,13.74533,100.55377,Entire home/apt,2000,2,0,-2012,0,7,84,0,168000,High,11.51,
40718393,New Relaxing Studio with Oriental Touch near,251475219,Kanomping,Phaya Thai,13.78273,100.54839,Entire home/apt,1665,1,34,2022-12-12 00:00:00,1,11,305,18,507825,High,83.56,BTS
40446442,Thonglor/ Best location/ 55sqm,283565412,Pakjira,Khlong Toei,13.7277,100.57138,Entire home/apt,3260,1,1,2019-12-06 00:00:00,0,1,90,0,293400,High,24.66,
40447404,"T2 ☆ Modern w/ Terrace ☆ (2 queen , 1 Sofa bed)",287313056,Theme,Ratchathewi,13.75352,100.53751,Private room,3259,1,29,2022-10-31 00:00:00,1,12,338,8,1101542,High,92.6,AC
40453298,Private room for Female - Rabbit Hole,108945430,Rabbitat Hostel,Ratchathewi,13.75391,100.53423,Private room,800,1,1,2019-12-29 00:00:00,0,5,365,0,292000,Medium,100.0,
40453591,Hidden Gem Luna 2 Bedroom Near Bts Phomphong,238195812,Exostay,Khlong Toei,13.72611,100.56689,Private room,1580,2,15,2022-11-30 00:00:00,0,13,122,10,192760,High,16.71,BTS
40453931,❤️ 300m_Monthly Special Price_WorkFromHome_7-11,243654968,Viia,Vadhana,13.72553,100.58145,Entire home/apt,9954,1,35,2022-12-13 00:00:00,1,6,228,18,2269512,Luxury,62.47,BTS
40455753,Hidden Emerald studio room Near Bts Phomphong,238195812,Exostay,Khlong Toei,13.7264,100.56659,Entire home/apt,1206,2,14,2022-12-12 00:00:00,0,13,157,3,189342,High,21.51,BTS
40456421,"Near BITEC Bangna, City Centre, Bangkok (8 guests)",69146622,Mike,Bang Na,13.66689,100.6231,Entire home/apt,2500,1,7,2022-12-23 00:00:00,0,1,358,4,895000,High,98.08,
40458074,30days!  Sukhumvit NANA spacious 1BR 2PPL near,52161947,Noons,Ratchathewi,13.74901,100.55491,Entire home/apt,1466,3,45,2022-09-17 00:00:00,1,99,358,13,524828,High,32.69,"AC, BTS"
40459041,曼谷素坤逸24街豪华公寓/ 屋顶泳池.健身房/彭蓬站/T21商场/四面佛/暹罗商场/火车夜市+,296659086,Summer,Khlong Toei,13.72489,100.56779,Entire home/apt,1830,2,13,2022-12-27 00:00:00,0,22,174,7,318420,High,23.84,BTS
40459331,sky pool/Sukhumvit/Prom Prong/asok/Terminal 21/gym,52161947,Noons,Vadhana,13.7341,100.56699,Entire home/apt,2845,1,15,2022-12-22 00:00:00,0,99,351,4,998595,High,96.16,"terminal, Pool, Gym"
40459920,คอนโด ศุภาลัย ปาร์ค แยกเกษตร,313027088,Suphajarin,Chatu Chak,13.83762,100.58009,Entire home/apt,600,30,0,-2012,0,1,179,0,107400,Medium,1.63,
40331416,BRIGHT STAR STUDIO /ASOKE / /SHOPPING MALL,79624768,Eva,Vadhana,13.73789,100.55937,Entire home/apt,2286,2,31,2022-12-02 00:00:00,1,44,73,21,166878,High,10.0,"mall, BTS"
40801356,❤️HIGH FLOOR ❤️STATE TOWER❤️Sky Bar❤️Luxury Room❤️,218032956,Heart,Bang Rak,13.72073,100.51817,Entire home/apt,3856,2,1,2020-02-09 00:00:00,0,8,91,0,350896,High,12.47,
40461207,Friendly Host-Shopaholic Center-Photogenic Space,313047612,Ujean,Parthum Wan,13.74897,100.53879,Entire home/apt,2403,2,35,2022-12-21 00:00:00,1,1,64,23,153792,High,8.77,AC
40807973,"Your Perfect Stay in the Heart of Silom, Bangkok",131710127,Penn,Bang Rak,13.72477,100.5366,Entire home/apt,4100,1,0,-2012,0,1,91,0,373100,High,24.93,
40461584,Sathon Happyland Condo,168835220,Cartoon R.,Sathon,13.71613,100.52847,Private room,2700,2,0,-2012,0,2,363,0,980100,High,49.73,
40461634,SPIOUS LUXURIOUS APARTMENT : 2 BR /WIFI /,79624768,Eva,Huai Khwang,13.75941,100.568,Entire home/apt,3286,1,22,2022-12-12 00:00:00,1,44,57,13,187302,High,15.62,"AC, MRT"
40461861,Loft and Modern Room with 5* Comfort Close(1a),23876548,Kate,Sathon,13.7139,100.52653,Private room,521,1,10,2022-11-24 00:00:00,0,9,327,7,170367,Medium,89.59,
40461871,❤️twin bed in the middle of bkk city❤️,313054110,Jidapa,Phra Khanong,13.70314,100.60283,Entire home/apt,1700,1,1,2019-12-12 00:00:00,0,1,178,0,302600,High,48.77,
40462228,LUXURIOUS WORTHY APARTMENT:2BR /WIFI /,79624768,Eva,Din Daeng,13.76007,100.56604,Entire home/apt,3286,1,22,2022-11-25 00:00:00,1,44,82,13,269452,High,22.47,MRT
40466370,"Highrises 1bedrm 4gts@  Bangna, Bitec, view",313089231,Mary,Bang Na,13.67423,100.60517,Entire home/apt,850,5,11,2022-12-15 00:00:00,0,1,336,9,285600,Medium,18.41,"Pool, BTS"
40473104,Mystery Hostel,313221586,Krit,Phra Nakhon,13.7573,100.49733,Shared room,304,1,2,2022-07-29 00:00:00,0,4,177,1,53808,Low,48.49,
40474664,Ideal Stay within Nightlife of Sukhumvit Bangkok,302460823,Tawaree,Bang Rak,13.73113,100.51666,Private room,1800,1,1,2020-01-02 00:00:00,0,10,365,0,657000,High,100.0,
40474703,One bedroom condo in On Nut,7396169,Fabien,Vadhana,13.71129,100.60125,Entire home/apt,1100,7,13,2022-11-29 00:00:00,0,1,103,5,113300,High,4.03,
40477571,❤️BRAND NEW❤HIGH FLOOR❤ -Wifi Washingmachine,29769376,Bird,Chatu Chak,13.81249,100.56064,Entire home/apt,1685,1,16,2022-10-30 00:00:00,0,12,90,7,151650,High,24.66,"AC, BTS, MRT"
40480818,Nicely decorated one bedroom close to Mall & .,27888176,Tarm,Bang Sue,13.80584,100.52758,Entire home/apt,500,90,0,-2012,0,4,358,0,179000,Low,1.09,"mall, MRT"
40483043,Wutthakat127•5stop to•ICONSIAM•Palace•Sathon,16552933,Central Old Town Cottage,Chom Thong,13.71144,100.46006,Entire home/apt,4725,7,3,2020-02-18 00:00:00,0,6,214,0,1011150,High,8.38,AC
40492182,T4 ☆2 BDs Ensuite w/Private Garden☆ Living,287313056,Theme,Ratchathewi,13.75426,100.53707,Private room,5068,1,20,2022-11-15 00:00:00,1,12,338,6,1712984,Luxury,92.6,
40722747,HOT DEAL Amazing RiverView Old town 5min SKYBAR,315867023,Alex,Bang Rak,13.72121,100.51721,Entire home/apt,3595,30,45,2021-01-09 00:00:00,1,3,27,0,97065,High,0.25,BTS
40724368,Cozy Quiet Room near  Bangchak WiFi  GYM,96970919,Golf,Phra Khanong,13.69922,100.61443,Entire home/apt,399,30,20,2022-11-30 00:00:00,1,1,136,7,54264,Low,1.24,"Pool, Gym, BTS"
40730488,The Treasure (Silom),316199792,Sakon,Bang Rak,13.72272,100.52412,Entire home/apt,1200,30,4,2020-02-08 00:00:00,0,1,63,0,75600,High,0.58,
40738498,日本高级住宅区Ekkamai /后花园/1.8大床/泳池健身/紧邻网红酒吧咖啡餐厅,173284172,Amy,Vadhana,13.73018,100.59233,Entire home/apt,1080,7,8,2020-04-15 00:00:00,0,1,155,0,167400,High,6.07,
